\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2020-01-31 08:02:14,,,,,,,,
\\For 2019,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2019-01-06,20,17.79,21.00,21.00,25.89,10.01,10.01,8.91
2019-01-06,21,15.88,21.00,21.00,21.00,4.75,4.75,4.75
2019-01-06,22,17.96,21.00,21.00,21.00,1.41,1.41,1.41
2019-01-06,23,17.80,21.00,21.00,21.00,1.25,0.24,0.24
2019-01-06,24,14.90,14.35,14.39,14.40,1.29,0.20,0.20
2019-01-07,1,11.49,13.32,13.33,13.37,1.17,0.19,0.19
2019-01-07,2,3.74,13.29,5.92,7.71,1.17,0.19,0.16
2019-01-07,3,0.00,5.92,5.94,5.00,1.17,0.19,0.10
2019-01-07,4,0.00,5.83,5.86,5.00,1.17,0.17,0.10
2019-01-07,5,0.00,5.90,7.00,5.83,1.17,0.17,0.10
2019-01-07,6,0.49,13.29,13.32,13.30,1.17,0.20,0.11
2019-01-07,7,7.73,21.00,21.00,13.39,1.34,0.45,0.45
2019-01-07,8,14.83,21.00,21.00,15.25,4.75,4.75,4.75
2019-01-07,9,13.33,21.01,21.00,21.00,4.75,4.75,4.75
2019-01-07,10,18.23,21.00,21.00,21.00,4.75,4.75,4.75
2019-01-07,11,78.07,21.00,21.00,21.00,45.67,30.00,30.00
2019-01-07,12,93.64,21.00,20.00,21.00,56.49,30.04,30.00
2019-01-07,13,27.94,21.00,21.00,21.00,3.99,2.18,2.18
2019-01-07,14,13.34,21.00,13.34,21.00,1.21,0.45,0.45
2019-01-07,15,13.35,17.98,15.28,13.38,1.30,1.30,1.30
2019-01-07,16,38.73,14.16,15.13,13.37,12.77,12.77,12.77
2019-01-07,17,36.24,26.50,26.50,21.00,21.76,21.76,21.76
2019-01-07,18,60.90,31.78,31.78,28.93,17.45,17.45,5.24
2019-01-07,19,11.80,26.50,13.39,31.78,28.46,26.34,26.31
2019-01-07,20,11.97,13.34,13.36,20.50,30.00,30.00,30.00
2019-01-07,21,12.73,13.33,13.32,21.68,0.45,0.45,0.45
2019-01-07,22,23.49,18.50,18.19,18.19,0.20,0.17,0.17
2019-01-07,23,9.68,12.99,13.32,13.33,0.20,0.20,0.19
2019-01-07,24,0.89,0.00,0.00,0.00,0.20,0.18,0.11
2019-01-08,1,0.00,0.00,0.00,0.00,1.22,0.17,0.10
2019-01-08,2,0.00,0.00,0.00,0.00,1.22,0.17,0.10
2019-01-08,3,0.00,0.00,0.00,0.00,1.22,0.19,0.10
2019-01-08,4,0.00,0.00,0.00,0.00,1.22,0.19,0.10
2019-01-08,5,4.80,0.00,0.00,0.00,1.24,0.19,0.15
2019-01-08,6,12.74,13.32,13.34,13.34,1.24,0.20,0.18
2019-01-08,7,66.11,24.68,24.68,31.57,14.90,14.50,14.49
2019-01-08,8,192.45,21.00,21.00,21.00,83.89,83.89,75.83
2019-01-08,9,13.37,83.03,21.00,21.00,27.40,27.40,21.15
2019-01-08,10,8.45,25.15,25.15,21.00,30.00,30.00,30.00
2019-01-08,11,60.19,25.15,25.15,26.23,29.26,29.26,29.26
2019-01-08,12,17.82,25.15,25.15,25.15,19.75,19.75,19.75
2019-01-08,13,6.62,29.21,25.15,25.15,2.60,2.60,2.60
2019-01-08,14,13.30,25.15,25.15,25.15,1.23,1.23,1.23
2019-01-08,15,13.37,25.15,25.15,22.00,1.23,1.23,1.23
2019-01-08,16,6.05,25.96,25.90,25.15,5.41,5.32,5.32
2019-01-08,17,15.93,25.15,26.44,25.15,5.16,5.16,5.16
2019-01-08,18,19.43,27.82,25.57,26.50,7.92,7.92,7.92
2019-01-08,19,7.09,25.96,25.15,25.15,11.02,8.27,7.17
2019-01-08,20,6.39,25.15,25.15,25.15,4.75,4.75,4.75
2019-01-08,21,10.14,21.01,25.15,23.00,4.19,4.19,4.19
2019-01-08,22,5.66,13.30,18.50,21.00,0.45,0.20,0.18
2019-01-08,23,0.97,0.00,0.00,0.00,1.12,0.20,0.12
2019-01-08,24,0.00,0.00,0.00,0.00,1.26,0.20,0.10
2019-01-09,1,0.00,0.00,0.00,0.00,1.14,0.17,0.10
2019-01-09,2,0.00,0.00,0.00,0.00,1.14,0.20,0.10
2019-01-09,3,0.00,0.00,0.00,0.00,1.14,0.20,0.10
2019-01-09,4,0.00,0.00,0.00,0.00,1.14,0.20,0.10
2019-01-09,5,0.00,0.00,0.00,0.00,1.14,0.20,0.10
2019-01-09,6,0.00,0.00,0.00,0.00,1.14,0.20,0.10
2019-01-09,7,0.39,13.30,13.31,5.92,1.21,0.45,0.45
2019-01-09,8,3.87,21.00,13.35,13.33,4.75,4.75,4.75
2019-01-09,9,5.76,20.40,21.00,13.33,4.75,4.75,4.75
2019-01-09,10,5.52,13.34,13.37,13.35,17.00,5.52,5.52
2019-01-09,11,5.81,13.23,13.35,8.31,4.75,4.75,4.75
2019-01-09,12,5.71,13.31,13.33,13.33,1.17,1.17,1.17
2019-01-09,13,5.58,13.35,13.33,13.30,1.17,0.45,0.45
2019-01-09,14,5.96,13.37,21.00,13.36,1.17,0.45,0.45
2019-01-09,15,5.65,13.33,13.33,20.65,2.59,0.23,0.23
2019-01-09,16,5.22,21.00,14.40,13.35,2.59,2.41,2.41
2019-01-09,17,3.79,18.88,21.00,13.38,19.31,19.05,10.84
2019-01-09,18,5.80,21.00,24.54,24.54,18.84,18.00,12.47
2019-01-09,19,5.82,24.54,24.54,24.54,18.54,18.00,11.22
2019-01-09,20,5.95,21.00,23.34,21.00,11.60,9.15,9.15
2019-01-09,21,6.60,13.36,13.34,13.37,11.62,11.47,11.47
2019-01-09,22,7.81,21.00,13.39,13.34,0.45,0.45,0.45
2019-01-09,23,7.27,6.56,13.33,13.30,0.93,0.22,0.21
2019-01-09,24,0.47,4.75,0.00,0.00,1.14,0.20,0.11
2019-01-10,1,0.00,0.00,0.00,0.00,1.20,0.20,0.10
2019-01-10,2,0.00,0.00,0.00,0.00,1.20,0.20,0.10
2019-01-10,3,0.00,0.00,0.00,0.00,1.20,0.20,0.10
2019-01-10,4,0.00,0.00,0.00,0.00,1.21,0.20,0.10
2019-01-10,5,0.00,0.00,0.00,0.00,1.21,0.20,0.10
2019-01-10,6,0.87,5.00,5.57,0.00,1.20,0.45,0.45
2019-01-10,7,6.91,13.30,13.29,5.96,2.59,2.34,2.34
2019-01-10,8,57.72,13.34,13.34,13.36,29.81,29.81,29.78
2019-01-10,9,27.49,21.00,21.00,21.00,27.05,27.05,27.05
2019-01-10,10,13.32,21.00,21.00,13.38,8.70,8.70,8.70
2019-01-10,11,13.34,21.00,21.00,19.00,1.73,1.73,1.73
2019-01-10,12,8.03,13.37,16.70,13.32,1.90,1.90,1.90
2019-01-10,13,7.15,21.00,21.00,13.36,2.28,2.28,2.28
2019-01-10,14,12.41,13.39,21.00,13.37,4.75,4.75,4.75
2019-01-10,15,13.33,13.39,15.54,13.37,8.84,8.84,8.84
2019-01-10,16,14.83,21.00,21.00,21.00,7.99,7.99,7.99
2019-01-10,17,24.08,25.94,25.94,25.94,7.86,7.86,7.86
2019-01-10,18,36.33,26.75,26.74,26.74,7.37,7.37,7.37
2019-01-10,19,29.32,28.76,27.15,28.76,5.67,5.67,5.67
2019-01-10,20,32.97,28.76,27.28,28.76,14.67,14.67,14.67
2019-01-10,21,62.85,30.11,28.83,28.76,29.78,29.78,29.76
2019-01-10,22,50.28,27.09,27.12,27.33,11.93,11.93,11.91
2019-01-10,23,25.98,25.94,25.94,26.45,0.39,0.24,0.24
2019-01-10,24,20.20,21.00,21.00,21.00,1.21,0.20,0.20
2019-01-11,1,24.55,13.39,20.00,21.00,1.21,0.20,0.20
2019-01-11,2,32.01,20.00,20.00,21.00,1.21,0.20,0.20
2019-01-11,3,39.50,20.00,20.00,21.00,1.21,0.20,0.20
2019-01-11,4,40.87,21.00,21.00,21.00,1.22,0.20,0.20
2019-01-11,5,13.44,20.00,20.00,21.00,1.00,0.20,0.20
2019-01-11,6,18.49,22.88,30.73,30.73,1.12,0.20,0.20
2019-01-11,7,55.32,37.00,37.00,44.96,6.29,6.20,5.65
2019-01-11,8,92.81,40.45,34.89,38.33,25.50,25.50,10.77
2019-01-11,9,46.19,49.41,40.20,35.24,5.35,5.35,0.45
2019-01-11,10,33.42,38.37,31.87,32.25,0.46,0.46,0.46
2019-01-11,11,30.24,35.24,32.28,30.78,1.68,1.68,1.63
2019-01-11,12,28.58,30.54,31.16,29.39,0.92,0.92,0.92
2019-01-11,13,27.24,29.15,29.19,29.15,0.33,0.30,0.30
2019-01-11,14,28.51,29.14,29.18,29.18,0.51,0.20,0.20
2019-01-11,15,28.45,29.13,29.13,29.15,0.45,0.20,0.20
2019-01-11,16,28.70,29.24,29.21,27.50,0.41,0.23,0.23
2019-01-11,17,29.19,30.57,30.54,31.29,1.24,0.41,0.41
2019-01-11,18,37.99,39.02,38.88,35.79,7.69,7.69,0.80
2019-01-11,19,32.25,32.76,32.60,37.59,17.13,17.13,0.56
2019-01-11,20,31.27,32.76,32.60,31.89,4.27,4.27,2.04
2019-01-11,21,29.89,31.88,30.54,30.54,1.25,0.45,0.45
2019-01-11,22,29.13,30.54,31.16,29.23,0.23,0.20,0.20
2019-01-11,23,30.84,27.21,27.29,27.31,0.24,0.20,0.20
2019-01-11,24,26.98,26.95,26.94,28.05,0.25,0.18,0.18
2019-01-12,1,28.01,28.08,28.08,26.32,1.02,0.18,0.18
2019-01-12,2,22.56,26.63,26.30,26.30,1.00,0.17,0.17
2019-01-12,3,18.73,26.67,26.67,26.30,0.87,0.17,0.17
2019-01-12,4,26.54,26.30,26.30,26.30,0.28,0.17,0.17
2019-01-12,5,13.35,26.30,26.30,26.30,1.21,0.17,0.17
2019-01-12,6,32.02,26.40,26.40,26.30,0.60,0.19,0.19
2019-01-12,7,12.10,26.30,26.30,26.30,1.22,0.20,0.20
2019-01-12,8,43.07,26.30,26.30,26.30,2.83,1.77,1.77
2019-01-12,9,21.21,28.97,26.30,26.30,1.42,0.20,0.20
2019-01-12,10,14.35,28.55,28.55,26.30,1.23,0.20,0.20
2019-01-12,11,15.05,28.69,28.69,27.29,1.24,0.45,0.45
2019-01-12,12,17.07,27.57,28.97,28.99,0.27,0.21,0.21
2019-01-12,13,28.98,30.44,31.00,28.97,0.20,0.20,0.20
2019-01-12,14,26.37,29.01,29.04,29.19,0.21,0.20,0.20
2019-01-12,15,28.93,28.93,29.08,29.02,0.29,0.29,0.29
2019-01-12,16,28.09,29.39,29.43,29.43,0.41,0.41,0.41
2019-01-12,17,23.94,30.38,31.20,31.21,11.09,10.49,10.49
2019-01-12,18,23.98,28.00,28.81,33.89,21.59,21.59,21.59
2019-01-12,19,26.09,27.30,27.97,29.70,10.59,10.59,10.59
2019-01-12,20,25.56,26.92,26.50,27.16,6.61,6.61,6.61
2019-01-12,21,24.07,23.69,23.90,27.79,5.18,5.18,5.18
2019-01-12,22,49.89,29.93,29.93,27.47,5.44,5.44,5.44
2019-01-12,23,33.96,28.32,29.90,26.69,0.27,0.20,0.20
2019-01-12,24,19.05,26.30,26.30,26.30,0.29,0.18,0.18
2019-01-13,1,12.79,23.41,26.11,26.11,0.29,0.18,0.18
2019-01-13,2,13.35,21.00,21.00,21.00,1.00,0.18,0.18
2019-01-13,3,13.36,13.37,17.09,14.12,0.87,0.18,0.18
2019-01-13,4,19.29,13.35,13.36,13.38,0.31,0.18,0.18
2019-01-13,5,13.34,13.39,13.37,13.34,1.21,0.20,0.20
2019-01-13,6,10.84,21.00,21.00,13.36,0.60,0.20,0.20
2019-01-13,7,7.84,21.00,21.00,14.39,1.25,0.20,0.20
2019-01-13,8,11.49,21.00,21.00,21.00,1.25,0.45,0.45
2019-01-13,9,11.56,18.09,20.98,21.00,4.12,4.12,4.12
2019-01-13,10,5.99,21.00,21.00,21.00,1.25,0.45,0.45
2019-01-13,11,13.32,20.99,21.00,13.34,1.25,0.45,0.45
2019-01-13,12,13.34,21.00,21.00,21.00,0.45,0.45,0.45
2019-01-13,13,28.94,23.41,28.97,23.41,0.45,0.45,0.45
2019-01-13,14,27.50,28.85,28.84,23.41,0.45,0.45,0.45
2019-01-13,15,19.49,28.98,28.97,26.60,0.97,0.97,0.97
2019-01-13,16,20.12,28.98,28.99,29.07,0.98,0.98,0.98
2019-01-13,17,29.19,36.94,39.78,37.87,3.57,3.57,3.57
2019-01-13,18,38.85,40.48,42.44,39.09,10.92,10.92,9.73
2019-01-13,19,32.86,36.75,38.00,39.78,17.99,17.99,8.97
2019-01-13,20,36.58,33.48,34.01,34.85,9.48,9.48,8.81
2019-01-13,21,30.57,31.13,31.13,31.95,3.13,3.13,3.13
2019-01-13,22,29.45,30.38,29.08,31.73,0.21,0.20,0.20
2019-01-13,23,27.65,27.46,27.56,27.76,0.20,0.20,0.20
2019-01-13,24,22.85,26.73,26.73,27.66,0.20,0.20,0.20
2019-01-14,1,45.60,26.11,26.11,26.74,0.20,0.17,0.17
2019-01-14,2,36.60,26.11,26.11,26.11,1.22,0.17,0.17
2019-01-14,3,22.06,26.11,26.11,26.11,1.22,0.17,0.17
2019-01-14,4,46.96,26.11,26.11,26.11,0.25,0.17,0.17
2019-01-14,5,25.73,26.80,26.73,27.00,0.20,0.16,0.16
2019-01-14,6,26.82,45.09,45.09,33.55,0.20,0.20,0.20
2019-01-14,7,28.70,54.57,50.98,50.98,0.95,0.95,0.95
2019-01-14,8,45.41,72.98,72.98,72.98,33.53,29.00,29.00
2019-01-14,9,34.42,50.98,69.74,98.98,30.10,30.10,24.10
2019-01-14,10,32.15,31.82,31.82,39.78,11.44,11.04,11.04
2019-01-14,11,30.90,31.13,31.13,33.30,11.46,9.93,9.93
2019-01-14,12,34.94,30.38,34.50,33.09,2.85,1.97,1.97
2019-01-14,13,28.99,29.00,28.99,30.38,1.20,0.20,0.20
2019-01-14,14,29.45,30.38,30.38,28.98,1.20,0.22,0.22
2019-01-14,15,25.53,26.11,27.55,29.08,0.30,0.30,0.30
2019-01-14,16,27.38,32.83,32.83,32.44,0.88,0.53,0.53
2019-01-14,17,27.55,38.44,38.44,39.21,12.64,12.64,12.64
2019-01-14,18,39.64,32.81,33.96,45.49,7.56,7.56,7.56
2019-01-14,19,39.15,59.67,59.00,36.27,0.72,0.72,0.72
2019-01-14,20,33.60,47.25,38.73,39.91,2.05,2.05,2.05
2019-01-14,21,32.96,37.87,37.87,36.75,1.13,0.99,0.99
2019-01-14,22,33.20,32.74,36.75,31.74,0.39,0.20,0.20
2019-01-14,23,27.66,29.62,30.38,30.38,0.26,0.20,0.20
2019-01-14,24,25.76,27.00,27.00,27.57,1.22,0.19,0.19
2019-01-15,1,22.95,26.11,26.11,21.01,1.24,0.19,0.19
2019-01-15,2,28.16,23.45,26.11,21.00,1.23,0.19,0.19
2019-01-15,3,31.05,23.42,23.42,23.45,1.12,0.19,0.19
2019-01-15,4,22.67,25.42,23.42,23.42,1.29,0.19,0.19
2019-01-15,5,14.35,26.11,26.11,26.11,1.47,0.20,0.20
2019-01-15,6,13.69,51.45,51.46,27.12,1.27,0.20,0.20
2019-01-15,7,17.89,65.37,62.68,46.06,1.39,0.20,0.20
2019-01-15,8,34.20,67.62,69.61,38.76,1.45,1.45,0.81
2019-01-15,9,35.21,49.83,44.68,37.78,0.20,0.20,0.20
2019-01-15,10,40.25,45.50,54.05,37.78,0.20,0.20,0.20
2019-01-15,11,38.53,37.03,35.25,35.24,0.33,0.20,0.20
2019-01-15,12,39.19,37.03,35.21,35.16,0.44,0.44,0.44
2019-01-15,13,34.95,35.16,35.16,35.15,0.24,0.24,0.24
2019-01-15,14,36.61,37.03,35.25,35.15,0.26,0.26,0.26
2019-01-15,15,34.82,35.16,35.16,35.16,0.43,0.43,0.43
2019-01-15,16,31.70,32.50,32.50,32.50,0.45,0.44,0.44
2019-01-15,17,29.16,36.64,37.70,35.17,4.01,4.01,4.01
2019-01-15,18,30.04,60.00,59.12,42.98,7.49,7.49,7.49
2019-01-15,19,23.71,55.40,55.40,39.16,5.58,5.58,5.58
2019-01-15,20,18.81,34.92,35.04,35.02,1.46,1.46,1.46
2019-01-15,21,21.12,33.81,33.78,34.73,1.70,1.70,1.70
2019-01-15,22,7.21,28.67,28.64,26.11,1.47,0.87,0.87
2019-01-15,23,8.07,5.96,21.00,18.87,1.27,0.20,0.17
2019-01-15,24,0.00,0.00,0.00,14.30,1.31,0.20,0.10
2019-01-16,1,0.00,0.00,0.00,0.00,1.26,0.18,0.10
2019-01-16,2,0.00,0.00,0.00,0.00,1.26,0.18,0.10
2019-01-16,3,0.00,0.00,0.00,0.00,1.26,0.17,0.10
2019-01-16,4,0.00,0.00,0.00,0.00,1.29,0.17,0.10
2019-01-16,5,0.00,0.00,0.00,0.00,1.25,0.17,0.10
2019-01-16,6,0.10,5.88,5.70,3.00,1.38,0.20,0.11
2019-01-16,7,3.94,21.00,21.00,21.00,1.46,0.20,0.15
2019-01-16,8,36.70,31.00,31.00,21.01,4.12,3.44,3.44
2019-01-16,9,19.16,38.26,38.26,32.49,1.46,0.45,0.45
